checkpoint,cohort,PMI,animal_within_PMI,organ,AWA_weight
fold9.pth,modeled_time_test,12.0,3,Brain,0.14281576871871948
fold9.pth,modeled_time_test,12.0,4,Brain,0.14277520775794983
fold9.pth,modeled_time_test,18.0,2,Brain,0.14278727769851685
fold9.pth,modeled_time_test,18.0,6,Brain,0.14276926219463348
fold9.pth,modeled_time_test,24.0,3,Brain,0.125
fold9.pth,modeled_time_test,24.0,6,Brain,0.12500104308128357
fold9.pth,unseen_time_test,0.33333,1,Brain,0.13032376766204834
fold9.pth,unseen_time_test,0.33333,2,Brain,0.13061554729938507
fold9.pth,unseen_time_test,4.0,1,Brain,0.13067494332790375
fold9.pth,unseen_time_test,4.0,2,Brain,0.1309281587600708
fold9.pth,unseen_time_test,11.0,1,Brain,0.133045956492424
fold9.pth,unseen_time_test,11.0,2,Brain,0.1348043531179428
fold9.pth,unseen_time_test,20.0,1,Brain,0.13765642046928406
fold9.pth,unseen_time_test,20.0,2,Brain,0.125
fold1.pth,modeled_time_test,0.5,2,Heart,0.14280365407466888
fold1.pth,modeled_time_test,0.5,3,Heart,0.1423194855451584
fold1.pth,modeled_time_test,1.0,4,Heart,0.14272496104240417
fold1.pth,modeled_time_test,1.0,8,Heart,0.14277061820030212
fold1.pth,modeled_time_test,2.0,7,Heart,0.1415562927722931
fold1.pth,modeled_time_test,2.0,8,Heart,0.14163468778133392
fold1.pth,modeled_time_test,3.0,1,Heart,0.1412162482738495
fold1.pth,modeled_time_test,3.0,8,Heart,0.14272111654281616
fold1.pth,modeled_time_test,6.0,1,Heart,0.1428399533033371
fold1.pth,modeled_time_test,6.0,10,Heart,0.14263787865638733
fold1.pth,modeled_time_test,12.0,3,Heart,0.14110016822814941
fold1.pth,modeled_time_test,12.0,4,Heart,0.14133372902870178
fold1.pth,modeled_time_test,18.0,2,Heart,0.14144408702850342
fold1.pth,modeled_time_test,18.0,6,Heart,0.14176253974437714
fold1.pth,modeled_time_test,24.0,3,Heart,0.125
fold1.pth,modeled_time_test,24.0,6,Heart,0.1250338852405548
fold1.pth,unseen_time_test,0.33333,1,Heart,0.1426924169063568
fold1.pth,unseen_time_test,0.33333,2,Heart,0.14261411130428314
fold1.pth,unseen_time_test,4.0,1,Heart,0.14255204796791077
fold1.pth,unseen_time_test,4.0,2,Heart,0.14250847697257996
fold1.pth,unseen_time_test,11.0,1,Heart,0.1425725221633911
fold1.pth,unseen_time_test,11.0,2,Heart,0.14275707304477692
fold1.pth,unseen_time_test,20.0,1,Heart,0.14272655546665192
fold1.pth,unseen_time_test,20.0,2,Heart,0.12500867247581482
fold10.pth,modeled_time_test,0.5,2,Heart,0.14240913093090057
fold10.pth,modeled_time_test,0.5,3,Heart,0.12532846629619598
fold10.pth,modeled_time_test,1.0,4,Heart,0.13722094893455505
fold10.pth,modeled_time_test,1.0,8,Heart,0.14088235795497894
fold10.pth,modeled_time_test,2.0,7,Heart,0.14206431806087494
fold10.pth,modeled_time_test,2.0,8,Heart,0.13914255797863007
fold10.pth,modeled_time_test,3.0,1,Heart,0.1422726809978485
fold10.pth,modeled_time_test,3.0,8,Heart,0.13909243047237396
fold10.pth,modeled_time_test,6.0,1,Heart,0.14135289192199707
fold10.pth,modeled_time_test,6.0,10,Heart,0.12950840592384338
fold10.pth,modeled_time_test,12.0,3,Heart,0.13279041647911072
